"score","og_df_row","winnerNo"
59,1352,2058
60,1352,2059
53,1352,2060
64,1353,2061
81,1353,2062
63,1353,2063
53,1354,2064
64,1354,2065
82,1356,2066
83,1356,2067
115,1359,2068
55,1360,2069
56,1360,2070
76,1361,2071
99,1363,2072
84,1363,2073
100,1363,2074
53,1363,2075
89,1363,2076
87,1364,2077
52,1365,2078
89,1365,2079
93,1366,2080
72,1366,2081
86,1367,2082
68,1367,2083
55,1369,2084
55,1370,2085
63,1371,2086
88,1372,2087
90,1372,2088
55,1372,2089
67,1373,2090
95,1373,2091
72,1373,2092
54,1374,2093
63,1374,2094
62,1374,2095
82,1375,2096
54,1375,2097
54,1376,2098
53,1376,2099
68,1377,2100
52,1378,2101
84,1378,2102
87,1379,2103
56,1379,2104
92,1379,2105
91,1381,2106
55,1382,2107
52,1382,2108
55,1383,2109
71,1383,2110
54,1384,2111
65,1384,2112
61,1384,2113
64,1385,2114
89,1385,2115
90,1386,2116
62,1387,2117
53,1388,2118
78,1388,2119
91,1388,2120
57,1388,2121
68,1388,2122
79,1389,2123
85,1391,2124
64,1391,2125
74,1394,2126
55,1394,2127
72,1395,2128
78,1397,2129
58,1398,2130
79,1399,2131
79,1399,2132
78,1399,2133
65,1399,2134
63,1401,2135
63,1402,2136
106,1402,2137
55,1403,2138
59,1403,2139
92,1403,2140
54,1403,2141
61,1404,2142
72,1409,2143
67,1409,2144
71,1410,2145
57,1411,2146
65,1411,2147
74,1412,2148
74,1413,2149
61,1413,2150
77,1413,2151
52,1413,2152
83,1414,2153
78,1414,2154
72,1415,2155
84,1415,2156
94,1415,2157
80,1416,2158
62,1417,2159
81,1418,2160
55,1419,2161
92,1421,2162
65,1421,2163
86,1421,2164
73,1421,2165
82,1421,2166
96,1422,2167
54,1423,2168
82,1423,2169
81,1423,2170
52,1423,2171
60,1424,2172
87,1425,2173
75,1426,2174
86,1428,2175
79,1429,2176
88,1429,2177
52,1430,2178
72,1432,2179
53,1432,2180
61,1432,2181
91,1433,2182
83,1433,2183
69,1433,2184
66,1433,2185
71,1433,2186
100,1434,2187
85,1434,2188
52,1435,2189
64,1435,2190
52,1435,2191
69,1436,2192
63,1436,2193
90,1436,2194
54,1438,2195
75,1438,2196
113,1439,2197
104,1439,2198
75,1439,2199
90,1439,2200
64,1443,2201
88,1444,2202
63,1444,2203
61,1444,2204
65,1446,2205
99,1447,2206
85,1448,2207
64,1449,2208
65,1449,2209
65,1449,2210
61,1449,2211
62,1450,2212
82,1450,2213
63,1451,2214
71,1452,2215
78,1452,2216
91,1453,2217
56,1456,2218
63,1456,2219
97,1457,2220
56,1457,2221
57,1459,2222
80,1459,2223
55,1460,2224
60,1460,2225
68,1463,2226
60,1463,2227
64,1463,2228
60,1464,2229
64,1464,2230
88,1464,2231
60,1464,2232
80,1465,2233
76,1465,2234
69,1466,2235
93,1466,2236
69,1467,2237
87,1467,2238
94,1467,2239
53,1468,2240
62,1468,2241
85,1470,2242
83,1472,2243
64,1475,2244
53,1475,2245
88,1475,2246
57,1476,2247
73,1476,2248
71,1477,2249
63,1477,2250
57,1477,2251
74,1477,2252
57,1478,2253
65,1479,2254
62,1479,2255
62,1480,2256
70,1480,2257
72,1480,2258
80,1481,2259
81,1481,2260
70,1482,2261
56,1482,2262
66,1482,2263
65,1483,2264
62,1485,2265
90,1485,2266
58,1486,2267
64,1486,2268
67,1487,2269
94,1487,2270
60,1487,2271
73,1487,2272
88,1488,2273
67,1488,2274
69,1488,2275
72,1491,2276
54,1491,2277
68,1492,2278
66,1492,2279
52,1492,2280
88,1493,2281
61,1493,2282
64,1494,2283
74,1494,2284
86,1495,2285
62,1495,2286
61,1497,2287
68,1497,2288
68,1499,2289
54,1499,2290
54,1500,2291
59,1500,2292
52,1500,2293
59,1501,2294
55,1502,2295
70,1502,2296
60,1502,2297
60,1502,2298
90,1503,2299
61,1503,2300
66,1503,2301
74,1503,2302
71,1504,2303
110,1504,2304
61,1504,2305
74,1506,2306
52,1506,2307
68,1506,2308
63,1506,2309
63,1507,2310
77,1507,2311
77,1507,2312
58,1508,2313
61,1508,2314
75,1508,2315
65,1510,2316
60,1510,2317
54,1510,2318
58,1511,2319
62,1512,2320
69,1512,2321
66,1512,2322
72,1513,2323
52,1513,2324
119,1513,2325
60,1514,2326
91,1514,2327
88,1514,2328
61,1515,2329
101,1515,2330
74,1516,2331
74,1516,2332
57,1517,2333
97,1517,2334
62,1518,2335
66,1518,2336
63,1521,2337
89,1522,2338
59,1522,2339
54,1523,2340
66,1523,2341
59,1524,2342
60,1525,2343
52,1525,2344
57,1525,2345
84,1526,2346
59,1526,2347
59,1527,2348
67,1529,2349
62,1529,2350
89,1530,2351
85,1530,2352
90,1532,2353
67,1533,2354
54,1533,2355
75,1535,2356
55,1535,2357
64,1537,2358
84,1539,2359
64,1539,2360
83,1539,2361
63,1540,2362
53,1540,2363
80,1541,2364
58,1541,2365
82,1542,2366
74,1542,2367
92,1542,2368
62,1542,2369
98,1545,2370
61,1545,2371
67,1545,2372
59,1545,2373
71,1545,2374
83,1546,2375
93,1546,2376
55,1547,2377
63,1548,2378
64,1550,2379
64,1551,2380
64,1551,2381
70,1553,2382
63,1553,2383
66,1553,2384
70,1553,2385
60,1556,2386
93,1556,2387
78,1556,2388
55,1556,2389
92,1557,2390
76,1557,2391
55,1559,2392
82,1559,2393
71,1559,2394
71,1560,2395
103,1560,2396
72,1561,2397
59,1561,2398
105,1561,2399
59,1561,2400
80,1562,2401
73,1562,2402
94,1562,2403
62,1562,2404
62,1563,2405
80,1563,2406
73,1564,2407
125,1564,2408
78,1565,2409
63,1565,2410
65,1567,2411
82,1567,2412
56,1567,2413
82,1567,2414
55,1568,2415
61,1568,2416
57,1568,2417
70,1569,2418
53,1573,2419
59,1574,2420
54,1574,2421
62,1575,2422
52,1577,2423
80,1577,2424
86,1577,2425
88,1577,2426
88,1578,2427
65,1578,2428
71,1579,2429
53,1579,2430
54,1579,2431
84,1580,2432
98,1580,2433
73,1581,2434
65,1582,2435
85,1582,2436
63,1583,2437
111,1583,2438
76,1583,2439
61,1584,2440
91,1584,2441
93,1587,2442
64,1587,2443
60,1588,2444
65,1588,2445
57,1588,2446
67,1590,2447
59,1590,2448
63,1592,2449
60,1592,2450
65,1592,2451
71,1593,2452
68,1593,2453
52,1593,2454
83,1594,2455
53,1594,2456
70,1595,2457
52,1596,2458
56,1596,2459
69,1596,2460
86,1596,2461
80,1597,2462
62,1597,2463
62,1598,2464
82,1598,2465
107,1599,2466
84,1599,2467
53,1599,2468
52,1599,2469
53,1599,2470
89,1600,2471
53,1602,2472
55,1603,2473
54,1603,2474
84,1604,2475
80,1604,2476
63,1605,2477
64,1605,2478
85,1605,2479
74,1605,2480
74,1606,2481
55,1606,2482
59,1607,2483
66,1608,2484
78,1608,2485
67,1608,2486
85,1609,2487
73,1609,2488
56,1610,2489
53,1610,2490
55,1611,2491
66,1611,2492
52,1612,2493
60,1612,2494
55,1613,2495
82,1613,2496
61,1613,2497
66,1613,2498
72,1613,2499
58,1614,2500
64,1615,2501
62,1617,2502
71,1617,2503
70,1617,2504
70,1619,2505
56,1620,2506
53,1620,2507
59,1620,2508
84,1620,2509
55,1622,2510
68,1622,2511
82,1623,2512
54,1623,2513
72,1623,2514
68,1625,2515
68,1626,2516
74,1626,2517
63,1626,2518
52,1629,2519
55,1630,2520
60,1630,2521
93,1630,2522
90,1631,2523
72,1631,2524
80,1632,2525
99,1632,2526
71,1633,2527
54,1634,2528
60,1634,2529
60,1635,2530
77,1635,2531
73,1635,2532
66,1638,2533
59,1643,2534
82,1644,2535
58,1644,2536
86,1644,2537
73,1645,2538
55,1645,2539
66,1646,2540
54,1649,2541
59,1651,2542
56,1651,2543
56,1652,2544
67,1654,2545
85,1655,2546
54,1655,2547
56,1655,2548
80,1655,2549
55,1657,2550
54,1657,2551
77,1658,2552
91,1660,2553
103,1660,2554
55,1663,2555
57,1663,2556
62,1663,2557
60,1664,2558
69,1664,2559
85,1665,2560
57,1666,2561
59,1668,2562
62,1668,2563
73,1668,2564
59,1670,2565
67,1670,2566
54,1672,2567
79,1672,2568
55,1674,2569
52,1674,2570
58,1675,2571
73,1676,2572
89,1676,2573
90,1676,2574
55,1677,2575
62,1677,2576
63,1678,2577
123,1678,2578
72,1680,2579
64,1680,2580
54,1680,2581
83,1683,2582
78,1683,2583
63,1683,2584
94,1683,2585
62,1684,2586
76,1685,2587
59,1685,2588
52,1686,2589
88,1687,2590
52,1687,2591
56,1688,2592
56,1688,2593
79,1688,2594
52,1689,2595
66,1689,2596
102,1690,2597
99,1691,2598
90,1691,2599
68,1691,2600
88,1692,2601
78,1693,2602
81,1693,2603
57,1694,2604
56,1695,2605
60,1695,2606
58,1695,2607
61,1695,2608
58,1695,2609
57,1696,2610
116,1697,2611
52,1697,2612
105,1697,2613
101,1699,2614
72,1699,2615
56,1699,2616
68,1700,2617
74,1700,2618
52,1700,2619
70,1700,2620
62,1704,2621
73,1704,2622
73,1705,2623
53,1705,2624
55,1705,2625
59,1706,2626
81,1706,2627
64,1707,2628
64,1708,2629
110,1708,2630
65,1709,2631
60,1709,2632
60,1709,2633
62,1710,2634
64,1711,2635
87,1712,2636
63,1714,2637
86,1715,2638
80,1715,2639
72,1715,2640
72,1715,2641
86,1716,2642
89,1717,2643
63,1718,2644
62,1719,2645
65,1720,2646
69,1720,2647
84,1722,2648
70,1723,2649
60,1723,2650
71,1725,2651
68,1726,2652
78,1726,2653
88,1727,2654
90,1728,2655
61,1729,2656
102,1729,2657
63,1729,2658
64,1732,2659
52,1735,2660
69,1735,2661
57,1736,2662
62,1737,2663
71,1737,2664
66,1737,2665
69,1738,2666
80,1738,2667
64,1739,2668
61,1740,2669
93,1740,2670
53,1740,2671
66,1741,2672
73,1741,2673
70,1742,2674
57,1742,2675
69,1745,2676
91,1748,2677
59,1749,2678
56,1750,2679
55,1750,2680
75,1751,2681
54,1751,2682
53,1751,2683
66,1753,2684
108,1755,2685
63,1755,2686
64,1756,2687
113,1757,2688
82,1757,2689
91,1757,2690
60,1758,2691
52,1758,2692
60,1759,2693
86,1760,2694
84,1760,2695
59,1760,2696
91,1764,2697
56,1766,2698
92,1766,2699
59,1766,2700
68,1767,2701
61,1767,2702
76,1767,2703
52,1768,2704
56,1769,2705
63,1769,2706
94,1769,2707
92,1769,2708
109,1770,2709
78,1770,2710
82,1771,2711
52,1771,2712
59,1771,2713
54,1774,2714
54,1774,2715
82,1774,2716
55,1775,2717
52,1775,2718
61,1776,2719
55,1776,2720
79,1776,2721
65,1776,2722
82,1777,2723
125,1778,2724
78,1779,2725
61,1780,2726
53,1780,2727
61,1781,2728
85,1781,2729
56,1781,2730
73,1783,2731
70,1783,2732
56,1784,2733
82,1785,2734
64,1785,2735
98,1785,2736
57,1786,2737
65,1787,2738
72,1787,2739
53,1787,2740
57,1788,2741
90,1788,2742
91,1789,2743
89,1790,2744
80,1790,2745
55,1791,2746
60,1791,2747
73,1791,2748
97,1791,2749
77,1792,2750
61,1792,2751
101,1793,2752
83,1793,2753
92,1794,2754
58,1795,2755
65,1795,2756
55,1795,2757
54,1797,2758
67,1798,2759
54,1799,2760
63,1800,2761
71,1800,2762
103,1801,2763
52,1802,2764
65,1803,2765
69,1804,2766
66,1804,2767
61,1805,2768
52,1805,2769
57,1805,2770
67,1806,2771
55,1806,2772
106,1807,2773
61,1807,2774
71,1809,2775
53,1810,2776
68,1811,2777
104,1811,2778
82,1811,2779
53,1812,2780
86,1813,2781
59,1814,2782
72,1815,2783
70,1815,2784
78,1818,2785
64,1819,2786
52,1819,2787
70,1820,2788
68,1820,2789
61,1821,2790
55,1821,2791
55,1822,2792
72,1824,2793
93,1824,2794
65,1825,2795
113,1825,2796
67,1825,2797
103,1827,2798
93,1827,2799
59,1828,2800
65,1829,2801
61,1829,2802
90,1831,2803
79,1831,2804
54,1831,2805
67,1831,2806
53,1832,2807
74,1832,2808
68,1834,2809
54,1834,2810
55,1834,2811
72,1837,2812
104,1837,2813
64,1838,2814
62,1838,2815
66,1838,2816
57,1841,2817
62,1841,2818
67,1843,2819
52,1843,2820
73,1843,2821
54,1843,2822
80,1844,2823
81,1844,2824
57,1844,2825
64,1844,2826
69,1845,2827
62,1845,2828
76,1846,2829
89,1846,2830
66,1847,2831
55,1847,2832
56,1848,2833
85,1849,2834
52,1849,2835
55,1850,2836
69,1851,2837
71,1851,2838
65,1852,2839
59,1852,2840
65,1852,2841
53,1853,2842
68,1853,2843
69,1855,2844
57,1856,2845
52,1857,2846
88,1858,2847
54,1859,2848
125,1860,2849
67,1860,2850
81,1860,2851
62,1860,2852
80,1861,2853
57,1861,2854
53,1861,2855
62,1863,2856
79,1864,2857
72,1864,2858
114,1864,2859
69,1866,2860
95,1866,2861
61,1867,2862
100,1867,2863
55,1868,2864
110,1868,2865
62,1869,2866
65,1871,2867
63,1871,2868
61,1871,2869
